id,prediction
77539 ,2.296849 
77540 ,2.339874 
77541 ,2.053330 
77542 ,2.886756 
77546 ,2.658340 
77548 ,2.589968 
77549 ,2.442206 
77550 ,2.594339 
77552 ,2.320679 
77554 ,2.178627 
77555 ,2.889648 
77557 ,2.767584 
77559 ,2.437761 
77564 ,2.643507 
77566 ,2.307885 
77571 ,2.284626 
77572 ,2.393007 
77573 ,2.686554 
77575 ,2.699605 
77577 ,2.731673 
77579 ,2.576227 
77580 ,2.602323 
77582 ,2.572245 
77584 ,2.572661 
77585 ,2.298572 
77588 ,2.606021 
77589 ,2.641143 
77591 ,2.453274 
77594 ,2.269174 
77595 ,2.433674 
77597 ,2.205084 
77598 ,2.510600 
77599 ,2.114633 
77600 ,2.513985 
77601 ,2.704068 
77602 ,2.229897 
77603 ,2.157347 
77610 ,2.293108 
77611 ,2.163612 
77612 ,2.541682 
77614 ,2.018339 
77615 ,2.073582 
77616 ,2.019613 
77617 ,2.228119 
77618 ,2.368955 
77619 ,2.272116 
77620 ,2.552228 
77623 ,2.373813 
77624 ,2.389427 
77625 ,2.351440 
77628 ,2.410914 
77629 ,2.402643 
77630 ,2.430013 
77631 ,2.397282 
77632 ,1.953216 
77633 ,2.591273 
77634 ,2.120156 
77636 ,2.400370 
77637 ,2.568841 
77638 ,2.392158 
77639 ,2.415626 
77640 ,2.437973 
77642 ,2.352202 
77644 ,2.297268 
77645 ,2.544572 
77646 ,2.501844 
77647 ,2.121757 
77649 ,2.147673 
77651 ,2.332978 
77653 ,2.312819 
77656 ,2.325693 
77657 ,2.147673 
77658 ,2.405387 
77661 ,2.602312 
77663 ,2.336723 
77666 ,2.367765 
77667 ,2.360347 
77669 ,2.393757 
77670 ,2.235060 
77672 ,2.147673 
77673 ,2.282076 
77674 ,2.575062 
77675 ,2.499393 
77678 ,2.757328 
77679 ,2.400403 
77680 ,2.265015 
77683 ,2.389440 
77684 ,2.294253 
77686 ,2.160732 
77687 ,2.655756 
77688 ,1.782101 
77689 ,1.913957 
77690 ,2.345325 
77691 ,1.901605 
77692 ,1.968212 
77694 ,2.572630 
77695 ,2.253203 
77696 ,2.369263 
77697 ,2.691795 
77699 ,2.216525 
77701 ,2.449381 
77702 ,2.485940 
77704 ,2.499066 
77705 ,2.711745 
77706 ,2.329672 
77707 ,2.319581 
77708 ,2.513304 
77709 ,2.286962 
77710 ,2.231715 
77711 ,2.237030 
77713 ,2.144681 
77714 ,2.311064 
77716 ,2.242963 
77717 ,2.226364 
77720 ,2.197532 
77721 ,2.308219 
77722 ,2.202477 
77723 ,2.571537 
77726 ,3.124864 
77727 ,2.374038 
77730 ,2.464348 
77731 ,2.333139 
77732 ,2.404591 
77733 ,2.308323 
77734 ,2.622073 
77736 ,2.490632 
77737 ,2.476515 
77738 ,2.218344 
77739 ,2.418184 
77740 ,2.519816 
77741 ,2.575913 
77742 ,2.530613 
77743 ,2.469984 
77744 ,2.460638 
77745 ,2.465635 
77746 ,2.496743 
77747 ,2.435951 
77748 ,2.388781 
77749 ,2.060973 
77750 ,2.391713 
77752 ,2.510690 
77753 ,2.590302 
77755 ,2.520389 
77757 ,2.473751 
77758 ,2.228146 
77759 ,2.432335 
77761 ,2.436275 
77763 ,2.136361 
77765 ,2.719633 
77766 ,2.198801 
77767 ,2.630183 
77769 ,2.595505 
77771 ,2.615768 
77772 ,2.530914 
77773 ,2.437570 
77775 ,2.604296 
77778 ,2.494914 
77779 ,2.606996 
77780 ,2.485437 
77783 ,2.444082 
77785 ,2.510788 
77786 ,2.524313 
77787 ,2.548156 
77789 ,2.604445 
77790 ,2.560986 
77791 ,2.505514 
77793 ,2.744654 
77795 ,2.565101 
77796 ,2.823676 
77797 ,2.723206 
77798 ,2.141885 
77799 ,2.216328 
77800 ,2.550725 
77801 ,2.434436 
77804 ,2.230314 
77805 ,2.583166 
77806 ,2.353267 
77807 ,2.224119 
77808 ,2.168178 
77809 ,2.267955 
77811 ,2.507831 
77812 ,2.627528 
77813 ,2.748053 
77814 ,2.318215 
77816 ,2.277082 
77818 ,2.253150 
77819 ,2.400936 
77822 ,2.152256 
77823 ,2.327565 
77824 ,2.385980 
77825 ,2.127356 
77826 ,2.194686 
77828 ,2.353036 
77829 ,2.039306 
77830 ,2.275629 
77831 ,2.414133 
77832 ,2.110361 
77833 ,2.600553 
77836 ,2.468836 
77837 ,2.473286 
77838 ,2.509912 
77839 ,2.539479 
77840 ,2.282955 
77841 ,2.347788 
77842 ,2.191236 
77843 ,2.318276 
77844 ,2.407740 
77845 ,2.429538 
77846 ,2.429538 
77847 ,2.263268 
77848 ,2.448182 
77849 ,2.791241 
77850 ,2.791241 
77851 ,2.737532 
77853 ,2.556603 
77854 ,2.702530 
77855 ,2.724759 
77856 ,2.526255 
77858 ,2.481919 
77862 ,2.306329 
77863 ,2.304968 
77864 ,2.380233 
77865 ,2.413600 
77866 ,2.231052 
77871 ,2.330634 
77872 ,2.310667 
77874 ,2.231052 
77876 ,2.231601 
77877 ,2.514295 
77878 ,2.474950 
77880 ,2.175873 
77881 ,2.382392 
77885 ,2.146254 
77886 ,2.233151 
77887 ,2.401158 
77888 ,2.606194 
77890 ,2.405591 
77891 ,2.383304 
77892 ,2.383304 
77894 ,2.638934 
77895 ,2.596238 
77896 ,2.575190 
77898 ,2.438341 
77899 ,1.671045 
77900 ,1.671045 
77901 ,2.521793 
77902 ,2.015910 
77905 ,2.000163 
77906 ,1.997205 
77907 ,1.843315 
77908 ,1.909348 
77910 ,2.297277 
77914 ,2.525157 
77916 ,2.507501 
77918 ,2.295897 
77919 ,2.450060 
77921 ,2.165725 
77922 ,2.262856 
77923 ,2.194584 
77924 ,2.461287 
77925 ,2.456074 
77926 ,2.326115 
77927 ,2.474568 
77928 ,2.452036 
77929 ,2.642989 
77931 ,2.533607 
77932 ,2.478841 
77933 ,2.522621 
77935 ,2.509850 
77939 ,2.410654 
77940 ,2.526278 
77941 ,2.689730 
77942 ,2.541238 
77943 ,2.241965 
77944 ,2.594724 
77946 ,2.410262 
77947 ,2.509025 
77948 ,2.526278 
77949 ,2.275390 
77952 ,2.183524 
77953 ,2.308776 
77955 ,2.184171 
77957 ,2.417984 
77960 ,2.137214 
77961 ,2.277292 
77962 ,2.490463 
77965 ,2.427531 
77967 ,2.255621 
77969 ,2.473610 
77970 ,2.389447 
77971 ,2.619253 
77972 ,2.275700 
77973 ,2.484003 
77977 ,2.214005 
77978 ,2.462246 
77979 ,2.543765 
77980 ,2.264745 
77981 ,2.330454 
77982 ,2.449668 
77983 ,2.346969 
77984 ,2.718046 
77985 ,2.437494 
77986 ,2.249720 
77987 ,2.194908 
77989 ,2.245100 
77990 ,2.338564 
77993 ,2.304326 
77994 ,2.173621 
77998 ,2.508384 
